Time,population,treatment,Clutch,,,
1,20,control,5,,,
2,20,control,5,,,
3,20,control,5,,,
4,20,control,5,,,
5,20,control,5,,,
6,20,control,5,,,
7,20,control,5,,,
1,20,control,5,,,
2,20,control,5,,,
3,20,control,5,,,
4,20,control,5,,,
5,20,control,5,,,
6,20,control,5,,,
7,20,control,5,,,
1,20,control,5,,,
2,19,control,5,,,
3,19,control,5,,,
4,18,control,5,,,
5,18,control,5,,,
6,18,control,5,,,
7,18,control,5,,,
1,20,control,5,,,
2,20,control,5,,,
3,20,control,5,,,
4,20,control,5,,,
5,20,control,5,,,
6,20,control,5,,,
7,20,control,5,,,
1,20,control,5,,,
2,20,control,5,,,
3,20,control,5,,,
4,20,control,5,,,
5,20,control,5,,,
6,20,control,5,,,
7,20,control,5,,,
1,20,control,5,,,
2,20,control,5,,,
3,20,control,5,,,
4,20,control,5,,,
5,20,control,5,,,
6,20,control,5,,,
7,20,control,5,,,
1,20,control,5,,,
2,20,control,5,,,
3,20,control,5,,,
4,20,control,5,,,
5,20,control,5,,,
6,20,control,5,,,
7,20,control,5,,,
1,20,control,5,,,
2,20,control,5,,,
3,20,control,5,,,
4,20,control,5,,,
5,20,control,5,,,
6,20,control,5,,,
7,20,control,5,,,
1,20,control,5,,,
2,20,control,5,,,
3,19,control,5,,,
4,19,control,5,,,
5,19,control,5,,,
6,19,control,5,,,
7,19,control,5,,,
1,20,control,5,,,
2,20,control,5,,,
3,20,control,5,,,
4,20,control,5,,,
5,20,control,5,,,
6,20,control,5,,,
7,20,control,5,,,
1,20,4ppt,5,,,
2,20,4ppt,5,,,
3,20,4ppt,5,,,
4,20,4ppt,5,,,
5,20,4ppt,5,,,
6,20,4ppt,5,,,
7,0,4ppt,5,,,
1,20,4ppt,5,,,
2,20,4ppt,5,,,
3,20,4ppt,5,,,
4,20,4ppt,5,,,
5,20,4ppt,5,,,
6,0,4ppt,5,,,
7,0,4ppt,5,,,
1,20,4ppt,5,,,
2,20,4ppt,5,,,
3,20,4ppt,5,,,
4,19,4ppt,5,,,
5,19,4ppt,5,,,
6,19,4ppt,5,,,
7,18,4ppt,5,,,
1,20,4ppt,5,,,
2,20,4ppt,5,,,
3,18,4ppt,5,,,
4,18,4ppt,5,,,
5,18,4ppt,5,,,
6,18,4ppt,5,,,
7,0,4ppt,5,,,
1,20,4ppt,5,,,
2,20,4ppt,5,,,
3,20,4ppt,5,,,
4,20,4ppt,5,,,
5,20,4ppt,5,,,
6,20,4ppt,5,,,
7,4,4ppt,5,,,
1,20,4ppt,5,,,
2,20,4ppt,5,,,
3,20,4ppt,5,,,
4,20,4ppt,5,,,
5,20,4ppt,5,,,
6,20,4ppt,5,,,
7,0,4ppt,5,,,
1,20,4ppt,5,,,
2,19,4ppt,5,,,
3,17,4ppt,5,,,
4,17,4ppt,5,,,
5,17,4ppt,5,,,
6,17,4ppt,5,,,
7,17,4ppt,5,,,
1,20,4ppt,5,,,
2,20,4ppt,5,,,
3,20,4ppt,5,,,
4,20,4ppt,5,,,
5,20,4ppt,5,,,
6,20,4ppt,5,,,
7,20,4ppt,5,,,
1,20,4ppt,5,,,
2,20,4ppt,5,,,
3,20,4ppt,5,,,
4,20,4ppt,5,,,
5,20,4ppt,5,,,
6,20,4ppt,5,,,
7,20,4ppt,5,,,
1,20,4ppt,5,,,
2,19,4ppt,5,,,
3,17,4ppt,5,,,
4,16,4ppt,5,,,
5,16,4ppt,5,,,
6,16,4ppt,5,,,
7,0,4ppt,5,,,
1,20,6ppt,5,,,
2,19,6ppt,5,,,
3,19,6ppt,5,,,
4,19,6ppt,5,,,
5,0,6ppt,5,,,
6,0,6ppt,5,,,
7,0,6ppt,5,,,
1,20,6ppt,5,,,
2,20,6ppt,5,,,
3,20,6ppt,5,,,
4,20,6ppt,5,,,
5,0,6ppt,5,,,
6,0,6ppt,5,,,
7,0,6ppt,5,,,
1,20,6ppt,5,,,
2,20,6ppt,5,,,
3,20,6ppt,5,,,
4,20,6ppt,5,,,
5,0,6ppt,5,,,
